Date,Average Daily Wind Speed (mph),Precipitation (in),Average Temperature (F),Maximum Temperature (F),Minimum Temperature (F)
1/1/2019,9.4,0,48,55,42
1/2/2019,11.86,2.22,43,46,39
1/3/2019,9.4,0.25,41,45,34
1/4/2019,5.14,0,43,60,33
1/5/2019,3.8,0,51,71,38
1/6/2019,10.51,0,56,72,44
1/7/2019,8.95,0,64,73,61
1/8/2019,5.82,0,63,75,56
1/9/2019,8.95,0,56,61,44
1/10/2019,4.25,0,50,59,40
1/11/2019,9.62,0.5,55,65,45
1/12/2019,10.51,0,57,59,43
1/13/2019,9.17,0,46,53,39
1/14/2019,6.04,0,42,52,36
1/15/2019,3.13,0,46,52,44
1/16/2019,6.04,0.08,51,58,47
1/17/2019,8.05,0.01,61,72,50
1/18/2019,7.16,0.09,56,67,49
1/19/2019,19.69,0.14,55,67,36
1/20/2019,6.04,0,39,51,29
1/21/2019,13.42,0,47,64,36
1/22/2019,15.43,0.84,62,70,42
1/23/2019,12.08,0.38,44,48,34
1/24/2019,4.25,0,42,59,29
1/25/2019,5.59,0,47,60,36
1/26/2019,5.14,0.17,51,59,43
1/27/2019,3.36,0,49,60,41
1/28/2019,10.96,0.13,54,69,43
1/29/2019,10.51,0,45,50,34
1/30/2019,7.16,0,44,51,39
1/31/2019,7.16,0.02,51,63,46
2/1/2019,5.37,0,58,70,54
2/2/2019,7.16,0.08,62,67,58
2/3/2019,8.72,0,63,70,60
2/4/2019,7.61,0,68,75,66
2/5/2019,11.18,0,70,78,67
2/6/2019,14.32,0,72,77,69
2/7/2019,16.33,0.76,65,73,39
2/8/2019,14.32,0.01,37,39,33
2/9/2019,9.17,0.03,36,40,35
2/10/2019,5.37,0.08,42,49,39
2/11/2019,5.14,0.06,53,66,48
2/12/2019,12.3,0,58,62,42
2/13/2019,8.5,0,49,64,32
2/14/2019,12.53,0,60,75,51
2/15/2019,8.5,0,65,82,56
2/16/2019,8.05,0,54,65,44
2/17/2019,13.65,0,53,59,47
2/18/2019,12.53,0,52,63,45
2/19/2019,10.51,0.19,46,48,42
2/20/2019,6.93,0.03,47,62,40
2/21/2019,10.29,0.01,51,55,48
2/22/2019,6.26,0.45,50,54,48
2/23/2019,10.07,0.04,61,74,54
2/24/2019,9.17,0,55,64,43
2/25/2019,9.62,0,53,64,44
2/26/2019,6.26,0.36,55,59,53
2/27/2019,3.8,0,61,70,51
2/28/2019,10.51,0,46,51,37
3/1/2019,5.14,0,45,53,42
3/2/2019,7.38,0,51,56,48
3/3/2019,15.66,0.01,48,49,34
3/4/2019,15.21,0,33,35,29
3/5/2019,10.74,0,34,47,26
3/6/2019,10.29,0,42,58,32
3/7/2019,9.62,0,57,72,51
3/8/2019,13.87,0,71,79,67
3/9/2019,10.29,0.11,74,84,62
3/10/2019,4.92,0,71,82,65
3/11/2019,8.05,0,67,72,61
3/12/2019,13.42,0,65,78,61
3/13/2019,13.2,0.54,65,73,54
3/14/2019,11.63,0.56,67,73,55
3/15/2019,13.42,0,55,62,47
3/16/2019,7.16,0,53,63,45
3/17/2019,5.37,0,57,67,47
3/18/2019,4.25,0,57,70,46
3/19/2019,6.71,0,59,72,48
3/20/2019,5.59,0,62,76,51
3/21/2019,2.91,0,62,76,46
3/22/2019,5.82,0,63,79,50
3/23/2019,11.41,0,65,76,58
3/24/2019,8.72,0,69,82,62
3/25/2019,9.84,0.03,72,81,62
3/26/2019,7.61,0,65,76,54
3/27/2019,8.05,0,63,75,52
3/28/2019,11.41,0,64,78,52
3/29/2019,13.2,0,69,80,61
3/30/2019,14.76,0,65,72,50
3/31/2019,11.41,0,50,57,42
4/1/2019,4.47,0,49,59,39
4/2/2019,5.14,0,53,70,37
4/3/2019,10.74,0.01,60,72,50
4/4/2019,6.93,0.04,71,86,62
4/5/2019,7.16,0,72,82,67
4/6/2019,8.95,0.37,71,74,65
4/7/2019,9.17,1.16,69,72,61
4/8/2019,9.17,0.02,68,83,61
4/9/2019,2.46,0,72,87,55
4/10/2019,14.76,0,75,89,61
4/11/2019,9.17,0,73,82,58
4/12/2019,9.17,0.01,65,79,55
4/13/2019,14.32,0.2,67,76,47
4/14/2019,9.4,0,56,70,46
4/15/2019,11.18,0,64,81,50
4/16/2019,14.09,0,70,82,60
4/17/2019,14.09,0.01,72,77,68
4/18/2019,11.63,1.66,68,74,56
4/19/2019,12.3,0,63,72,50
4/20/2019,4.7,0,61,77,46
4/21/2019,12.97,0,69,83,56
4/22/2019,10.07,0,71,81,63
4/23/2019,9.84,0,71,78,66
4/24/2019,7.83,2.07,69,73,63
4/25/2019,7.16,0,67,82,58
4/26/2019,5.37,0,71,81,61
4/27/2019,10.51,0,72,84,62
4/28/2019,10.07,0,72,84,63
4/29/2019,13.42,0,75,87,67
4/30/2019,17.9,0,79,87,75
5/1/2019,13.65,0,78,84,74
5/2/2019,9.84,2.09,74,83,63
5/3/2019,7.83,2.81,69,79,65
5/4/2019,8.5,0.09,71,82,61
5/5/2019,6.26,0,73,84,64
5/6/2019,6.71,0,74,83,65
5/7/2019,9.17,0.6,75,84,69
5/8/2019,5.82,0.88,71,76,66
5/9/2019,8.95,0,78,88,66
5/10/2019,10.96,0,65,72,57
5/11/2019,8.28,0.06,64,68,60
5/12/2019,7.61,0,67,76,62
5/13/2019,3.58,0,71,84,57
5/14/2019,4.25,0,74,85,63
5/15/2019,5.14,0,76,86,66
5/16/2019,6.04,0,76,87,64
